urd-wl-83-174268-11364090-post1__3	میری نظر میں تو یہ ان کا شرعی حق ہے آپ کیا کہتے ہیں؟	In my opinion, this is religious right, what do you say?	In my point of view, it is their religious right, what do you say?	I believe this is his legitimate right. What do you say?	In my opinion they have the right? what would be ur opinion?	-29.9794	-35.745	-31.4313	-71.4188	-28.4531	-32.8619	-30.5093	-70.3788
urd-wl-86-174276-11370255-post1__9	سرجیکل اسٹرائک یا بھرپور جنگ کا امکان ہے؟	is there a chance of surgical strikes or a full fledge war?	Is there a chance of surgical strike or full scale war?	Is there any chance of a surgical strike or a full-fledged war?	Is there any situation of immediate wars?	-77.4386	-40.7212	-76.2249	-23.4957	-73.3464	-36.4669	-72.294	-20.9253
urd-wl-86-174276-11370255-post1__10	نئے سال سے آپ کو کیا توقعات وابستہ ہیں؟	what are you expectation from the new year?	What expectations do you have from the new year?	What are your expectations for the new year?	From new year what are your resolutions?	-23.5627	-24.3068	-22.0895	-25.173	-22.6408	-24.3819	-19.9366	-24.3989
urd-wl-86-174276-11370255-post1__11	اپنی رائے سے آگاہ کریں۔	please provide your feedback.	Inform us about your opinion	Share your opinion.	Guide us with your Ideas.	-18.7748	-17.3715	-10.8806	-15.6208	-18.9421	-16.301	-11.271	-16.2671
urd-wl-86-174276-11370256-post1__1	بے نظیر بھٹو شہید کی پہلی برسی منائی جا رہی ہے،انہیں 27دسمبر2007ء کوراولپنڈی کے لیاقت باغ میں ایک انتخابی جلسے کے بعد شہید کردیا گیاتھا۔	First death anniversary of Benazir Bhutto Shaheed is being celebrated. she was martyred on 27th of December, 2007 after a congregation at the Liaqat Bagh in Rawalpindi.	The first anniversary of Benazir Bhutto is being celebrated,she was martyred in an election rally at Liaquat Garden Rawalpindi on 27 December 2007.	It is the first death anniversary of Benazir Bhutto. She was slain after an election rally in Liaqat Bagh, Rawalpindi on 27th December 2007.	The first anniversary of Shaheed Benazir Bhuttu is being celebrated. She was being assisinated on 27th december,2007 in Liaquat Garden Rawalpindi while addressing a rally	-355.927	-254.707	-265.953	-344.134	-359.061	-254.119	-266.648	-343.912
urd-wl-86-174276-11370256-post1__2	بے نظیر آج ہم میں نہیں ہیں،وہ ایک مدبر، سیاست دان اور عالمی شہرت کی حامل شخصیت تھیں ، ملکی سیاست میں ان کا منفرد مقام تھا۔	Benazir is no more amongst us, she was a statesman, politician and world famous personality and had a unique status in national politics.	Today Benazir is not within us,she was a seasoned politician and a personality of international repute,she had a unique status in the countries politics.	Benazir is not among us today. She was a thoughtful politician and a world reknowned figure. She held a special status in national politics.	Today Benazir is not amongst us.She was a respected politician and a globally renowned personality. She held a valuable place in the countries democracy	-103.95	-180.004	-149.756	-158.854	-105.808	-181.578	-150.702	-161.076
urd-wl-86-174276-11370256-post1__3	ایک سال کا عرصہ گزرنے کے باوجود ان کی شہادت کا معمہ آج تک حل نہ ہوسکا۔	One year has gone by but the mystery of her martyrdom has not yet been resolved.	The mystery of her killing has not been solved till today.	Although it's been a year now yet the enigma of her death remains unsolved.	One year has passed, till today the case of her murder has not been resolved	-41.5978	-33.69	-84.1249	-44.51	-37.8809	-31.2976	-84.2821	-43.3965
urd-wl-86-174276-11370256-post1__4	پاکستان میں جمہوریت اور حکومت کے قیام میں ان کی محنت رائیگاں نہیں گئیں۔	her efforts in bringing democracy in Pakistan and formation of government have not gone in vain.	Her efforts to establish government and democracy in the country has not been wasted.	Her efforts to bring democracy to Pakistan were not in vain.	Her efforts didnot go in vain for the restoration of democracy and the formation of government in Pakistan	-41.3835	-30.4387	-29.1858	-80.8845	-37.2876	-28.6391	-28.6414	-77.888
urd-wl-86-174276-11370256-post1__5	آج پاکستان میں ایک جمہوری حکومت قائم ہے اور ان کے شوہر آصف زرداری صدر مملکت کے عہدے پر فائز ہیں۔	Today Pakistan has a democratic government and her husband Asif Ali Zardari is holding the chair of the president.	Today, a democratic government has been established in Pakistan and her husband Asif Ali Zardari is holding the office of the President of the State.	Today a democratic government exists in Pakistan and her husband Asif Zardari currently holds the position of Pakistan President.	Today a democratic Government has been established in Pakistan and her husban Asif Ali Zardari is being appointed as the president	-125.249	-131.204	-126.74	-164.542	-126.438	-131.154	-126.741	-165.008
urd-wl-86-174276-11370256-post1__6	پاکستان کی سیاست میں بے نظیر بھٹو شہید کے کردار آپ کس طرح دیکھتے ہیں؟	How do you see the role of Shaheed Benazir Bhutto in Pakistan politics?	how do you see Shaheed Benazir's role in Pakistan's politics?	What do you think is the role of martyr Benazir Bhutto in Pakistani politics?	How do you visualize the role of Benazir Bhutto Shaheed in the politics of Pakistan	-146.475	-107.564	-117.345	-186.591	-143.913	-105.555	-114.261	-184.49
urd-wl-86-174276-11370256-post1__7	ان کی شہادت کے پیچھے کس کا ہاتھ ہوسکتا ہے؟	whose hand is behind the killing of her?	Who can be behind her martyrdom?	Who can be behind murdering her?	Who could have been behind her assisination?	-29.0825	-55.0944	-23.9053	-56.7443	-29.1655	-55.3042	-24.1151	-55.18
urd-wl-86-174276-11370256-post1__8	حال ہی میں انہیں انسانی حقوق کا عالمی ایوارڈ سے بھی نوازا گیا،ان کی سیاسی اور جمہوری خدمات کے بارے میںآ پ کیا کہنا چاہیں گے۔	recently she has been awarded by the Human right Organization for her work in politics and democracy, what do you have to say on it	she was recently awarded with the global award for human rights. what would you like to say about her political and democratic services.	Recently,, she was given the global human rights award. What would you like to say about her democratic and political services?	Recently she had been awarded with the global award for the human rights. What do you say about her political and democratic efforts	-58.9553	-61.2085	-95.3838	-64.6331	-60.2931	-57.1331	-91.0451	-63.4462
urd-wl-86-174276-11370257-post1__1	صدر بش8 سال امریکا پر حکومت کرنے کے بعد وائٹ ہاوس سے رخصت ہو کر صدارتی کیمپ آفس کیمپ ڈیوڈ منتقل ہوگئے تاکہ وائٹ ہاؤس کو نئے صدر بارک اوبامہ کی مرضی کے مطابق تزئین و آرائش کرکے تیار کیا جاسکے،	President Bush after completing his 8 years tenure of the Government from white house he reached Presidential Camp Office Camp David so that white house can be decorated according to the wish of President Barack Obama	after ruling America for 8 years, president Bush has departed from the White House and shifted to the president camp office in Camp David so that the White House can be renovated according to the new president Barak Obama's likings.	After ruling over America for eight years, President Bush left the White House, for presidential camp office, Camp David, so that the White House can be decorated and prepared for new President Barack Obama, according to his wishes.	The US president bush ruled 8 year after the government to the White House and leaving Camp David presidential camp Office transferred to the White House, so that the new President Barak Obama to the wishes of the worked can be prepared by.	-193.425	-186.793	-193.86	-157.097	-193.467	-187.602	-194.68	-156.631
urd-wl-86-174276-11370257-post1__2	بش کے آٹھ سالہ دور صدارت میں امریکا میں ورلڈ ٹریڈ سینٹر پر تاریخی حملہ اور تباہی، پنٹا گون پر حملہ اور پھر دہشت گردی کے خلاف عالمی جنگ کی آڑ میں افغانستان اور عراق میں فوجی کارروائی کرتے ہوئے مختلف ملکوں کی افواج کو اس جنگ میں گھسیٹنے اور اس جنگ میں امریکی وسائل کا بھرپور استعمال بش دور کی یادگار مثالیں بن گئیں۔	In 8 years tenure of President Bush ,America has witness historical attack on World trade Center and its destruction, Pentagon attack and in a wake of war against terrorist entered in to military invasion in Afghanistan and Iraq and dragging different countries into this war and using American resources on it became the memorable things.	During Bush's eight years rule, the historical attacks and destruction of the World Trade Center, attack on Pentagon and then in the name of war against terror, attacking Afghanistan and Iraq and involving forces from other countries into the war and use of American resources in it have become memorable examples of his time.	In Bush's eight year presidency, the historic World Trade Center attack, the attack on the Pentagon, the action against Afghanistan and Iraq in the name of a global war against terrorism, in which armies of many countries were pulled into the war, and American resources were completely exhausted, were some of the memorable events of the Bush era.	Bush term of eight-year-old in America in the World Trade Center and attacked a historic destruction, the Pentagon Mantua attack and against the terrorism in the international war in Afghanistan and Iraq, the military action in the forces of the countries in this war the American resources full use of Bush and became memorabilia examples.	-204.188	-155.166	-156.757	-219.76	-208.205	-152.625	-155.056	-216.83
urd-wl-86-174276-11370257-post1__3	اس جنگ سے خود امریکا کو تاریخ کے بدترین معاشی اور مالیاتی بحران کا سامنا کرنا پڑا۔	due to this war America is facing the historically Economic and Monetary crisis	due to this war America itself faced the worst ever economical and financial crisis in history.	As a result of this war, America had to face the worst economic and financial crisis in history.	The war of US in the history faced the economic and financial crisis.	-37.3173	-45.7609	-38.1136	-29.9348	-37.6091	-46.6128	-33.2844	-28.5753
